string_num,x,grommet_x,grommet_y,natural_x,natural_y,flat_x,flat_y,sharp_x,sharp_y,active_natural,active_flat,semitone_ratio
1,37.986,37.986,54.786,37.986,57.038,37.986,57.172,38.304,58.672,2.252,2.386,1.059503
2,37.461,37.461,53.947,37.461,56.574,37.461,56.73,37.78,58.23,2.627,2.783,1.059383
3,36.936,36.936,53.107,36.936,56.11,36.936,56.288,37.255,57.788,3.003,3.181,1.059274
4,36.412,36.412,52.268,36.412,55.646,36.412,55.847,36.731,57.347,3.378,3.579,1.059503
5,35.887,35.887,51.428,35.887,55.181,35.887,55.404,36.206,56.904,3.753,3.976,1.059419
6,35.363,35.363,50.589,35.363,54.717,35.363,54.963,35.681,56.463,4.128,4.374,1.059593
7,34.838,34.838,49.749,34.838,54.252,34.838,54.52,35.157,56.02,4.503,4.771,1.059516
8,34.313,34.313,48.91,34.313,53.788,34.313,54.079,34.632,55.579,4.878,5.169,1.059656
9,33.789,33.789,48.07,33.789,53.511,33.789,53.835,34.108,55.335,5.441,5.765,1.059548
10,33.264,33.264,47.23,33.264,53.235,33.264,53.592,33.583,55.092,6.005,6.362,1.05945
11,32.74,32.74,46.391,32.74,52.958,32.74,53.349,33.058,54.849,6.567,6.958,1.05954
12,32.215,32.215,45.551,32.215,52.682,32.215,53.106,32.534,54.606,7.131,7.555,1.059459
13,31.69,31.69,44.712,31.69,52.405,31.69,52.863,32.009,54.363,7.693,8.151,1.059535
14,31.166,31.166,43.872,31.166,52.129,31.166,52.62,31.485,54.12,8.257,8.748,1.059465
15,30.641,30.641,43.033,30.641,51.852,30.641,52.377,30.96,53.877,8.819,9.344,1.059531
16,30.076,30.076,42.129,30.076,51.886,30.076,52.467,30.395,53.967,9.757,10.338,1.059547
17,29.511,29.511,41.225,29.511,51.545,29.511,52.159,29.83,53.659,10.32,10.934,1.059496
18,28.946,28.946,40.32,28.946,51.58,28.946,52.249,29.265,53.749,11.26,11.929,1.059414
19,28.381,28.381,39.416,28.381,51.614,28.381,52.339,28.7,53.839,12.198,12.923,1.059436
20,27.816,27.816,38.512,27.816,51.648,27.816,52.429,28.135,53.929,13.136,13.917,1.059455
21,27.251,27.251,37.608,27.251,51.869,27.251,52.717,27.57,54.217,14.261,15.109,1.059463
22,26.686,26.686,36.704,26.686,52.091,26.686,53.006,27.005,54.506,15.387,16.302,1.059466
23,26.081,26.081,35.735,26.081,52.436,26.081,53.429,26.4,54.929,16.701,17.694,1.059458
24,25.476,25.476,34.767,25.476,52.781,25.476,53.853,25.795,55.353,18.014,19.086,1.059509
25,24.871,24.871,33.798,24.871,53.313,24.871,54.474,25.189,55.974,19.515,20.676,1.059493
26,24.265,24.265,32.829,24.265,54.033,24.265,55.294,24.584,56.794,21.204,22.465,1.05947
27,23.66,23.66,31.86,23.66,54.942,23.66,56.314,23.979,57.814,23.082,24.454,1.05944
28,23.055,23.055,30.892,23.055,55.662,23.055,57.135,23.373,58.635,24.77,26.243,1.059467
29,22.449,22.449,29.923,22.449,57.132,22.449,58.75,22.768,60.25,27.209,28.827,1.059466
30,21.804,21.804,28.89,21.804,58.351,21.804,60.103,22.122,61.603,29.461,31.213,1.059468
31,21.158,21.158,27.856,21.158,59.945,21.158,61.852,21.477,63.352,32.089,33.996,1.059428
32,20.512,20.512,26.823,20.512,61.163,20.512,63.205,20.831,64.705,34.34,36.382,1.059464
33,19.826,19.826,25.725,19.826,62.505,19.826,64.692,20.145,66.192,36.78,38.967,1.059462
34,19.14,19.14,24.627,19.14,63.847,19.14,66.178,19.459,67.678,39.22,41.551,1.059434
35,18.454,18.454,23.53,18.454,64.813,18.454,67.268,18.773,68.768,41.283,43.738,1.059468
36,17.768,17.768,22.432,17.768,66.53,17.768,69.152,18.087,70.652,44.098,46.72,1.059458
37,17.062,17.062,21.302,17.062,66.713,17.062,69.414,17.381,70.914,45.411,48.112,1.059479
38,16.356,16.356,20.171,16.356,66.334,16.356,69.078,16.675,70.578,46.163,48.907,1.059442
39,15.65,15.65,19.041,15.65,66.704,15.65,69.538,15.968,71.038,47.663,50.497,1.059459
40,14.943,14.943,17.911,14.943,66.888,14.943,69.8,15.262,71.3,48.977,51.889,1.059456
41,14.237,14.237,16.781,14.237,66.884,14.237,69.863,14.556,71.363,50.103,53.082,1.059458
42,13.531,13.531,15.651,13.531,66.88,13.531,69.926,13.85,71.426,51.229,54.275,1.059459
43,12.825,12.825,14.521,12.825,66.876,12.825,69.989,13.144,71.489,52.355,55.468,1.059459
44,12.119,12.119,13.39,12.119,66.872,12.119,70.051,12.437,71.551,53.482,56.661,1.059441
45,11.412,11.412,12.26,11.412,66.68,11.412,69.915,11.731,71.415,54.42,57.655,1.059445
46,10.706,10.706,11.13,10.706,66.488,10.706,69.779,11.025,71.279,55.358,58.649,1.059449
47,10.0,10.0,10.0,10.0,66.296,10.0,69.643,10.319,71.143,56.296,59.643,1.059454
