name,s_from_CI_mm,s_prime_from_CO_mm,x_mm,y_mm
C1,94.353,167.943,101.700,1661.495
D1,128.196,201.786,119.632,1632.793
E1,162.039,235.629,137.565,1604.091
F1,195.896,269.486,155.523,1575.389
G1,229.761,303.351,173.455,1546.662
A1,263.604,337.194,191.387,1517.960
B1,297.448,371.038,209.320,1489.258
C2,331.291,404.881,227.252,1460.556
D2,365.148,438.738,245.210,1431.854
E2,398.991,472.581,263.142,1403.152
F2,432.856,506.446,281.075,1374.425
G2,466.699,540.289,299.007,1345.723
A2,499.585,573.175,316.432,1317.833
B2,532.448,606.038,333.856,1289.970
C3,565.333,638.923,351.280,1262.080
D3,598.218,671.808,368.705,1234.191
E3,629.164,702.754,385.113,1207.953
F3,660.133,733.723,401.522,1181.689
G3,691.065,764.655,417.905,1155.451
A3,720.094,793.684,433.297,1130.839
B3,749.089,822.679,448.664,1106.251
C4,778.104,851.694,464.031,1081.639
D4,807.134,880.724,479.423,1057.026
E4,836.149,909.739,494.790,1032.414
F4,865.145,938.735,510.157,1007.826
G4,894.160,967.750,525.524,983.214
A4,921.238,994.828,539.875,960.252
B4,948.315,1021.905,554.226,937.291
C5,975.392,1048.982,568.577,914.329
D5,1002.470,1076.060,582.928,891.367
E5,1029.547,1103.137,597.279,868.406
F5,1056.625,1130.215,611.630,845.444
G5,1083.703,1157.293,625.981,822.482
A5,1108.862,1182.452,639.316,801.147
B5,1134.009,1207.599,652.626,779.811
C6,1159.148,1232.738,665.961,758.500
D6,1184.309,1257.899,679.296,737.164
E6,1209.435,1283.025,692.606,715.853
F6,1234.595,1308.185,705.941,694.517
G6,1259.742,1333.332,719.250,673.181
A6,1284.880,1358.470,732.585,651.871
B6,1310.041,1383.631,745.920,630.535
C7,1335.167,1408.757,759.230,609.224
D7,1360.327,1433.917,772.565,587.888
E7,1385.452,1459.042,785.874,566.578
F7,1410.612,1484.202,799.209,545.242
G7,1435.751,1509.341,812.544,523.931
