slab_index,s_prime_mm,D_mm,b_mm,n_local_mm,z_mm
0,-106.201,185.906,42.213,168.852,0.000
0,-106.201,185.906,42.213,168.749,4.419
0,-106.201,185.906,42.213,168.441,8.827
0,-106.201,185.906,42.213,167.928,13.213
0,-106.201,185.906,42.213,167.213,17.568
0,-106.201,185.906,42.213,166.297,21.879
0,-106.201,185.906,42.213,165.183,26.138
0,-106.201,185.906,42.213,163.874,30.333
0,-106.201,185.906,42.213,162.375,34.456
0,-106.201,185.906,42.213,160.689,38.495
0,-106.201,185.906,42.213,158.823,42.442
0,-106.201,185.906,42.213,156.781,46.288
0,-106.201,185.906,42.213,154.570,50.024
0,-106.201,185.906,42.213,152.196,53.642
0,-106.201,185.906,42.213,149.666,57.134
0,-106.201,185.906,42.213,146.988,60.492
0,-106.201,185.906,42.213,144.169,63.709
0,-106.201,185.906,42.213,141.219,66.780
0,-106.201,185.906,42.213,138.144,69.698
0,-106.201,185.906,42.213,134.954,72.457
0,-106.201,185.906,42.213,131.659,75.054
0,-106.201,185.906,42.213,128.267,77.483
0,-106.201,185.906,42.213,124.787,79.741
0,-106.201,185.906,42.213,121.230,81.825
0,-106.201,185.906,42.213,117.605,83.732
0,-106.201,185.906,42.213,113.923,85.460
0,-106.201,185.906,42.213,110.191,87.008
0,-106.201,185.906,42.213,106.422,88.376
0,-106.201,185.906,42.213,102.623,89.562
0,-106.201,185.906,42.213,98.806,90.568
0,-106.201,185.906,42.213,94.979,91.394
0,-106.201,185.906,42.213,91.153,92.042
0,-106.201,185.906,42.213,87.335,92.514
0,-106.201,185.906,42.213,83.536,92.812
0,-106.201,185.906,42.213,79.763,92.940
0,-106.201,185.906,42.213,76.026,92.902
0,-106.201,185.906,42.213,72.333,92.700
0,-106.201,185.906,42.213,68.691,92.340
0,-106.201,185.906,42.213,65.108,91.827
0,-106.201,185.906,42.213,61.591,91.166
0,-106.201,185.906,42.213,58.146,90.362
0,-106.201,185.906,42.213,54.781,89.422
0,-106.201,185.906,42.213,51.499,88.352
0,-106.201,185.906,42.213,48.308,87.158
0,-106.201,185.906,42.213,45.211,85.847
0,-106.201,185.906,42.213,42.213,84.426
0,-106.201,185.906,42.213,39.318,82.902
0,-106.201,185.906,42.213,36.529,81.283
0,-106.201,185.906,42.213,33.849,79.575
0,-106.201,185.906,42.213,31.281,77.787
0,-106.201,185.906,42.213,28.825,75.925
0,-106.201,185.906,42.213,26.485,73.996
0,-106.201,185.906,42.213,24.259,72.009
0,-106.201,185.906,42.213,22.149,69.971
0,-106.201,185.906,42.213,20.155,67.888
0,-106.201,185.906,42.213,18.276,65.768
0,-106.201,185.906,42.213,16.510,63.617
0,-106.201,185.906,42.213,14.857,61.442
0,-106.201,185.906,42.213,13.315,59.250
0,-106.201,185.906,42.213,11.881,57.046
0,-106.201,185.906,42.213,10.553,54.836
0,-106.201,185.906,42.213,9.328,52.627
0,-106.201,185.906,42.213,8.202,50.423
0,-106.201,185.906,42.213,7.173,48.229
0,-106.201,185.906,42.213,6.236,46.049
0,-106.201,185.906,42.213,5.386,43.888
0,-106.201,185.906,42.213,4.621,41.750
0,-106.201,185.906,42.213,3.936,39.637
0,-106.201,185.906,42.213,3.325,37.554
0,-106.201,185.906,42.213,2.785,35.501
0,-106.201,185.906,42.213,2.311,33.482
0,-106.201,185.906,42.213,1.897,31.498
0,-106.201,185.906,42.213,1.540,29.551
0,-106.201,185.906,42.213,1.234,27.641
0,-106.201,185.906,42.213,0.975,25.769
0,-106.201,185.906,42.213,0.758,23.934
0,-106.201,185.906,42.213,0.578,22.138
0,-106.201,185.906,42.213,0.432,20.378
0,-106.201,185.906,42.213,0.316,18.654
0,-106.201,185.906,42.213,0.224,16.965
0,-106.201,185.906,42.213,0.154,15.308
0,-106.201,185.906,42.213,0.101,13.683
0,-106.201,185.906,42.213,0.063,12.086
0,-106.201,185.906,42.213,0.037,10.516
0,-106.201,185.906,42.213,0.020,8.968
0,-106.201,185.906,42.213,0.010,7.442
0,-106.201,185.906,42.213,0.004,5.932
0,-106.201,185.906,42.213,0.001,4.437
0,-106.201,185.906,42.213,0.000,2.952
0,-106.201,185.906,42.213,0.000,1.474
0,-106.201,185.906,42.213,0.000,0.000
0,-106.201,185.906,42.213,0.000,-1.474
0,-106.201,185.906,42.213,0.000,-2.952
0,-106.201,185.906,42.213,0.001,-4.437
0,-106.201,185.906,42.213,0.004,-5.932
0,-106.201,185.906,42.213,0.010,-7.442
0,-106.201,185.906,42.213,0.020,-8.968
0,-106.201,185.906,42.213,0.037,-10.516
0,-106.201,185.906,42.213,0.063,-12.086
0,-106.201,185.906,42.213,0.101,-13.683
0,-106.201,185.906,42.213,0.154,-15.308
0,-106.201,185.906,42.213,0.224,-16.965
0,-106.201,185.906,42.213,0.316,-18.654
0,-106.201,185.906,42.213,0.432,-20.378
0,-106.201,185.906,42.213,0.578,-22.138
0,-106.201,185.906,42.213,0.758,-23.934
0,-106.201,185.906,42.213,0.975,-25.769
0,-106.201,185.906,42.213,1.234,-27.641
0,-106.201,185.906,42.213,1.540,-29.551
0,-106.201,185.906,42.213,1.897,-31.498
0,-106.201,185.906,42.213,2.311,-33.482
0,-106.201,185.906,42.213,2.785,-35.501
0,-106.201,185.906,42.213,3.325,-37.554
0,-106.201,185.906,42.213,3.936,-39.637
0,-106.201,185.906,42.213,4.621,-41.750
0,-106.201,185.906,42.213,5.386,-43.888
0,-106.201,185.906,42.213,6.236,-46.049
0,-106.201,185.906,42.213,7.173,-48.229
0,-106.201,185.906,42.213,8.202,-50.423
0,-106.201,185.906,42.213,9.328,-52.627
0,-106.201,185.906,42.213,10.553,-54.836
0,-106.201,185.906,42.213,11.881,-57.046
0,-106.201,185.906,42.213,13.315,-59.250
0,-106.201,185.906,42.213,14.857,-61.442
0,-106.201,185.906,42.213,16.510,-63.617
0,-106.201,185.906,42.213,18.276,-65.768
0,-106.201,185.906,42.213,20.155,-67.888
0,-106.201,185.906,42.213,22.149,-69.971
0,-106.201,185.906,42.213,24.259,-72.009
0,-106.201,185.906,42.213,26.485,-73.996
0,-106.201,185.906,42.213,28.825,-75.925
0,-106.201,185.906,42.213,31.281,-77.787
0,-106.201,185.906,42.213,33.849,-79.575
0,-106.201,185.906,42.213,36.529,-81.283
0,-106.201,185.906,42.213,39.318,-82.902
0,-106.201,185.906,42.213,42.213,-84.426
0,-106.201,185.906,42.213,45.211,-85.847
0,-106.201,185.906,42.213,48.308,-87.158
0,-106.201,185.906,42.213,51.499,-88.352
0,-106.201,185.906,42.213,54.781,-89.422
0,-106.201,185.906,42.213,58.146,-90.362
0,-106.201,185.906,42.213,61.591,-91.166
0,-106.201,185.906,42.213,65.108,-91.827
0,-106.201,185.906,42.213,68.691,-92.340
0,-106.201,185.906,42.213,72.333,-92.700
0,-106.201,185.906,42.213,76.026,-92.902
0,-106.201,185.906,42.213,79.763,-92.940
0,-106.201,185.906,42.213,83.536,-92.812
0,-106.201,185.906,42.213,87.335,-92.514
0,-106.201,185.906,42.213,91.153,-92.042
0,-106.201,185.906,42.213,94.979,-91.394
0,-106.201,185.906,42.213,98.806,-90.568
0,-106.201,185.906,42.213,102.623,-89.562
0,-106.201,185.906,42.213,106.422,-88.376
0,-106.201,185.906,42.213,110.191,-87.008
0,-106.201,185.906,42.213,113.923,-85.460
0,-106.201,185.906,42.213,117.605,-83.732
0,-106.201,185.906,42.213,121.230,-81.825
0,-106.201,185.906,42.213,124.787,-79.741
0,-106.201,185.906,42.213,128.267,-77.483
0,-106.201,185.906,42.213,131.659,-75.054
0,-106.201,185.906,42.213,134.954,-72.457
